Channel,Pre_EO,Post_EO,EO_Pct_Change,Pre_EC,Post_EC,EC_Pct_Change,Pre_Reactivity,Post_Reactivity,Reactivity_Pct_Change
FP1,0.7920331954956055,1.3960336446762085,76.25948667500695,1.5874909162521362,1.8009527921676636,13.446494321963343,0.695306658744812,0.2546807527542114,-63.37144919423488
FP2,0.9416877627372742,1.4053324460983276,49.235500524435274,1.6745226383209229,1.9828351736068726,18.411965788357502,0.5756096839904785,0.34425386786460876,-40.19317648062653
F3,0.6203340291976929,0.7468869686126709,20.400773366996308,1.2980918884277344,1.3595963716506958,4.738068527448889,0.7383925914764404,0.5990293025970459,-18.87387420839814
Fz,0.6248315572738647,0.8957632184028625,43.36075186584214,1.5789124965667725,1.80320405960083,14.205446059978808,0.9270094633102417,0.6996442675590515,-24.526739450889295
F4,0.5462417006492615,0.7808195352554321,42.94396314440147,1.3248645067214966,1.5559380054473877,17.441292868332965,0.8860039114952087,0.6894898414611816,-22.179819692036403
FCz,0.3738592863082886,0.7041764855384827,88.35334879385898,0.8731083273887634,1.3434104919433594,53.86527075754112,0.8481801748275757,0.6459378004074097,-23.844270406494626
C3,0.3153541088104248,0.38016054034233093,20.550368529006395,0.5834041237831116,0.5839784145355225,0.09843789733381951,0.6151840090751648,0.4292703866958618,-30.220815176713668
Cz,0.38277870416641235,0.5946674346923828,55.35541246669047,0.7998707294464111,0.9491316676139832,18.66063260883108,0.7369930744171143,0.4675452411174774,-36.560429487446996
C4,0.2687883973121643,0.3605414032936096,34.135776283112996,0.46974724531173706,0.5509127974510193,17.278558405471557,0.5582703351974487,0.42396974563598633,-24.056551296776867
CP3,0.0,0.0,,0.0,0.0,,,,
CPz,0.0,0.0,,0.0,0.0,,,,
CP4,0.0,0.0,,0.0,0.0,,,,
P3,0.7998881340026855,1.0010384321212769,25.14730367508064,1.8644967079162598,2.2579050064086914,21.099972814223968,0.8462745547294617,0.8133994936943054,-3.8846803146132403
Pz,0.4740184247493744,0.6072419881820679,28.10514454224689,1.0563819408416748,1.3676886558532715,29.469143969231652,0.8013588786125183,0.8119500875473022,1.3216561539970297
P4,0.7428940534591675,1.0317672491073608,38.884844252434306,1.72885262966156,2.0462093353271484,18.356492636837075,0.8446598052978516,0.6847158670425415,-18.935900258555478
PO3,,,,,,,,,
POz,,,,,,,,,
PO4,,,,,,,,,
O1,1.071592092514038,2.0946643352508545,95.47217172316097,4.399886608123779,4.9910430908203125,13.4357208571022,1.412433385848999,0.868251621723175,-38.5279595893099
Oz,1.1249088048934937,1.7096341848373413,51.97980293159937,3.5136921405792236,3.8608922958374023,9.88134820488125,1.138965368270874,0.8146188259124756,-28.477296272037382
O2,1.2413108348846436,2.7313334941864014,120.03622440307042,5.063030242919922,5.696085453033447,12.503484667088092,1.4057972431182861,0.7349892854690552,-47.71726228181172
